Timestamp,Time_Seconds,LoadCell1_Raw,LoadCell1_Delta,LoadCell2_Raw,LoadCell2_Delta
2026-02-15 14:43:46.202,28.225,-588306,-8036,-570934,4097
2026-02-15 14:43:46.395,28.418,-2249347,-1669077,-2227745,-1652715
2026-02-15 14:43:46.589,28.611,-2250845,-1670575,1548063,2123094
2026-02-15 14:43:46.782,28.805,-2261839,-1681569,-2232623,-1657592
2026-02-15 14:43:46.975,28.998,-2251410,-1671140,1573327,2148357
2026-02-15 14:43:47.169,29.191,-2238687,-1658417,-2238506,-1663475
2026-02-15 14:43:47.362,29.384,-2247495,-1667225,1559940,2134971
2026-02-15 14:43:47.555,29.578,-4024705,-3444435,-2227283,-1652253
2026-02-15 14:43:47.748,29.771,-2269832,-1689562,1569920,2144951
2026-02-15 14:43:47.942,29.964,-2252643,-1672373,-2233220,-1658189
2026-02-15 14:43:48.135,30.158,-2235930,-1655660,1563330,2138360
2026-02-15 14:43:48.328,30.351,-2180513,-1600243,1575324,2150355
2026-02-15 14:43:48.522,30.544,-2245393,-1665123,-2246617,-1671586
2026-02-15 14:43:48.715,30.738,-2264143,-1683873,-2237304,-1662273
2026-02-15 14:43:48.908,30.931,-2256563,-1676293,5358299,5933329
2026-02-15 14:43:49.101,31.124,-6051589,-5471319,-2218163,-1643132
2026-02-15 14:43:49.295,31.317,-6072117,-5491847,1572653,2147684
2026-02-15 14:43:49.488,31.511,-2240805,-1660535,5071437,5646468
2026-02-15 14:43:49.681,31.704,-2246752,-1666482,1410963,1985994
2026-02-15 14:43:49.875,31.897,-187138,393132,-2165619,-1590588
2026-02-15 14:43:50.068,32.090,-4303903,-3723633,6110753,6685784
2026-02-15 14:43:50.261,32.284,-2243483,-1663213,2380307,2955338
2026-02-15 14:43:50.454,32.477,-2253496,-1673226,-6034634,-5459603
2026-02-15 14:43:50.648,32.670,-2238230,-1657960,1413649,1988680
2026-02-15 14:43:50.841,32.864,-580106,164,895709,1470740
2026-02-15 14:43:51.034,33.057,-3816703,-3236433,2768718,3343749
2026-02-15 14:43:51.228,33.250,-566045,14225,-564965,10065
2026-02-15 14:43:51.421,33.443,-585526,-5256,-591078,-16047
2026-02-15 14:43:51.614,33.637,-378978,201292,-574629,401
2026-02-15 14:43:51.807,33.830,-589773,-9503,-587977,-12946
